subject_key,original_subject_id,capture_key,original_photo_id,view,old_path,new_path
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_001,e6f404ebda41ebe93573d3e219c88297,front,data/data /raw/mask/e6f404ebda41ebe93573d3e219c88297.png,data/bodym/raw_masks/sub_0001/cap_001_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_001,e6f404ebda41ebe93573d3e219c88297,side,data/data /raw/mask_left/e6f404ebda41ebe93573d3e219c88297.png,data/bodym/raw_masks/sub_0001/cap_001_side.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_002,39a4241cb892618a694747e224d57b9e,front,data/data /raw/mask/39a4241cb892618a694747e224d57b9e.png,data/bodym/raw_masks/sub_0001/cap_002_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_002,39a4241cb892618a694747e224d57b9e,side,data/data /raw/mask_left/39a4241cb892618a694747e224d57b9e.png,data/bodym/raw_masks/sub_0001/cap_002_side.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_003,a00a6c0c074efbd92c894cbc77023939,front,data/data /raw/mask/a00a6c0c074efbd92c894cbc77023939.png,data/bodym/raw_masks/sub_0001/cap_003_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_003,a00a6c0c074efbd92c894cbc77023939,side,data/data /raw/mask_left/a00a6c0c074efbd92c894cbc77023939.png,data/bodym/raw_masks/sub_0001/cap_003_side.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_004,7c99b3017f21f9797851e70de084bfcb,front,data/data /raw/mask/7c99b3017f21f9797851e70de084bfcb.png,data/bodym/raw_masks/sub_0001/cap_004_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_004,7c99b3017f21f9797851e70de084bfcb,side,data/data /raw/mask_left/7c99b3017f21f9797851e70de084bfcb.png,data/bodym/raw_masks/sub_0001/cap_004_side.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_005,3000cb26b2090db5a7d82926af8c6a83,front,data/data /raw/mask/3000cb26b2090db5a7d82926af8c6a83.png,data/bodym/raw_masks/sub_0001/cap_005_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_005,3000cb26b2090db5a7d82926af8c6a83,side,data/data /raw/mask_left/3000cb26b2090db5a7d82926af8c6a83.png,data/bodym/raw_masks/sub_0001/cap_005_side.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_006,e62a945f9950f739ea73b90438a9e9cc,front,data/data /raw/mask/e62a945f9950f739ea73b90438a9e9cc.png,data/bodym/raw_masks/sub_0001/cap_006_front.png
sub_0001,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,cap_006,e62a945f9950f739ea73b90438a9e9cc,side,data/data /raw/mask_left/e62a945f9950f739ea73b90438a9e9cc.png,data/bodym/raw_masks/sub_0001/cap_006_side.png
sub_0002,-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,cap_001,69748a13010a169df0f7cb986ac1129e,front,data/data /raw/mask/69748a13010a169df0f7cb986ac1129e.png,data/bodym/raw_masks/sub_0002/cap_001_front.png
sub_0002,-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,cap_001,69748a13010a169df0f7cb986ac1129e,side,data/data /raw/mask_left/69748a13010a169df0f7cb986ac1129e.png,data/bodym/raw_masks/sub_0002/cap_001_side.png
sub_0003,-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,cap_001,0d4a9cce6294a2bdc6dae93d0d9c42a8,front,data/data /raw/mask/0d4a9cce6294a2bdc6dae93d0d9c42a8.png,data/bodym/raw_masks/sub_0003/cap_001_front.png
