subject_id,photo_id,front_path,side_path,height_cm,hip_cm,bai
9qVCJoXCAJwZaC9u5-kXG26GlA3JmoMw92Rp5oiVEg4,001f3a88501980a5eca6f6346a0ca8d9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/001f3a88501980a5eca6f6346a0ca8d9.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/001f3a88501980a5eca6f6346a0ca8d9.png,153.6,98.16104125976562,33.56468072448071
Cs-o0pke1roKv1voqw9fRI46nKhiUxqh2Ai_HQPSc0w,0023f967e5089c95ae22c43e25b2cef1,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0023f967e5089c95ae22c43e25b2cef1.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0023f967e5089c95ae22c43e25b2cef1.png,172.0,91.9397201538086,22.757778721615033
ebzW4IRAtta9xnF_UqpCR6znOTmH6xo4Hp02dO2uo-c,0026b236ae6f63db9c354cc2916c9c34,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0026b236ae6f63db9c354cc2916c9c34.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0026b236ae6f63db9c354cc2916c9c34.png,169.0,102.7355499267578,28.761743252962127
59bc2767681516389ccf45c9,003d4db18f3359c8ed8410817b726539,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/003d4db18f3359c8ed8410817b726539.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/003d4db18f3359c8ed8410817b726539.png,181.9,122.03353118896484,31.742788756349533
EU_UtqmsPy2xW35iJcsFplr9CMI5BDH-Is0qi5fVYlQ,004c72a4efa6341764e10e6f599d4212,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/004c72a4efa6341764e10e6f599d4212.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/004c72a4efa6341764e10e6f599d4212.png,177.0,108.86701965332033,28.231334973403463
qjI5gzFZD5ngTks54SsoluCXKJzmR0yh7utNvmupAvA,005e8eca196e8127de2fa342ccf6a007,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/005e8eca196e8127de2fa342ccf6a007.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/005e8eca196e8127de2fa342ccf6a007.png,179.9,110.62852478027344,27.847997961552927
59bc2770681516389ccf494c,006269330d4250ea76578c935d09b700,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/006269330d4250ea76578c935d09b700.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/006269330d4250ea76578c935d09b700.png,166.05,108.5886001586914,32.74881603669531
ar1ZBYi08jgVt4YXjcmSLIyjF8WrnbPa6z4ANSX5KAg,0063d101686814661ad13e8b71e7a20f,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0063d101686814661ad13e8b71e7a20f.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0063d101686814661ad13e8b71e7a20f.png,164.75,93.03814697265624,25.996985071191695
W_F3KSfslhBqdPufXu4utZpQzzYipDr0O7YAUGR3VS4,007e27ae1b23ff14d51cf4fcd2a308e5,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/007e27ae1b23ff14d51cf4fcd2a308e5.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/007e27ae1b23ff14d51cf4fcd2a308e5.png,182.5,108.92405700683594,26.180385964886092
DzFVefVg0qyZwV68DGxNR7jyM4H3ZrNzeyrpBHnXeJo,007ec205cc5dd598e68659994b7fc508,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/007ec205cc5dd598e68659994b7fc508.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/007ec205cc5dd598e68659994b7fc508.png,164.8,93.43428802490234,26.16421033301355
m70ndgfKAM_jHaYlk3InxW-JioR7M7Jrv51fu-wGer4,0093da086599ed038737bb1c8c724697,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0093da086599ed038737bb1c8c724697.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0093da086599ed038737bb1c8c724697.png,165.25,102.69728088378906,30.34446323961174
bt83HhrkEtECc5zsfh3QLofyfGKlq3pMdRJAASFAkP4,00a19f879a88dafab8af4eabbfef045a,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00a19f879a88dafab8af4eabbfef045a.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00a19f879a88dafab8af4eabbfef045a.png,166.25,100.02385711669922,28.661760131751613
qYlb2EfOLZbw-sluXUOq5gcJJqpWXrFDdguVbtfB6Z0,00bb4d84c9cf8903eeb0671eb66bd739,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00bb4d84c9cf8903eeb0671eb66bd739.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00bb4d84c9cf8903eeb0671eb66bd739.png,180.5,101.90033721923828,24.02036416557477
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,00e41e2dfd7b6110d0533280665fc9a2,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00e41e2dfd7b6110d0533280665fc9a2.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00e41e2dfd7b6110d0533280665fc9a2.png,178.0,95.80044555664062,22.340151553160062
z_dRmGW8VHAWcCqRqeHDiBPbeOEhjNbGnEmR2QMscJQ,00eacdd1f9d8d1d01475e73e7152efe9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00eacdd1f9d8d1d01475e73e7152efe9.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00eacdd1f9d8d1d01475e73e7152efe9.png,178.5,102.52021026611328,24.98848674057505
8ihJtq2eo1xEMbVx1nioChqxCCPS6gQb-nzd9lm44kU,00f0c3ff479a6b27658d147ac8f002fb,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00f0c3ff479a6b27658d147ac8f002fb.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00f0c3ff479a6b27658d147ac8f002fb.png,160.0,93.8541488647461,28.3738872295475
7ZYlxTERmHBIDp2DG-eUiSEMowbgMvn47rv5cU-lKMs,00f1d9af65333bedb6bbd77d49171ff4,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00f1d9af65333bedb6bbd77d49171ff4.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00f1d9af65333bedb6bbd77d49171ff4.png,163.5,114.3428192138672,36.693064807313256
ue3P1rds2SorwiUP4tCm0-7FzgMFwMCRwqVvbKo9jwc,00f33d68beefd6928dbbc1df5027e1c4,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00f33d68beefd6928dbbc1df5027e1c4.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00f33d68beefd6928dbbc1df5027e1c4.png,163.6,100.3329620361328,29.94779995281133
