photo_id,subject_id,gender,height_cm,weight_kg,front_path,side_path,bf_pseudo
0d4a9cce6294a2bdc6dae93d0d9c42a8,-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,male,185.0,82.9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0d4a9cce6294a2bdc6dae93d0d9c42a8.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0d4a9cce6294a2bdc6dae93d0d9c42a8.png,24.143344968022532
084a938ea27cfe695205db36f9ad3145,-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,female,158.0,77.4,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/084a938ea27cfe695205db36f9ad3145.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/084a938ea27cfe695205db36f9ad3145.png,35.75654571216531
06284964e245e85c88a24e8036f36ddc,-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,female,158.0,77.4,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/06284964e245e85c88a24e8036f36ddc.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/06284964e245e85c88a24e8036f36ddc.png,35.75654571216531
00e41e2dfd7b6110d0533280665fc9a2,-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,male,178.0,71.6,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/00e41e2dfd7b6110d0533280665fc9a2.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/00e41e2dfd7b6110d0533280665fc9a2.png,22.340151553160062
043e0f84792df2dc8b55d2fafabec4d6,0D-8Ft39MufsfV1e8PSPutSzSJ4BYLTcQYupqyYs52c,female,156.2,57.9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/043e0f84792df2dc8b55d2fafabec4d6.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/043e0f84792df2dc8b55d2fafabec4d6.png,30.497108781076612
07838cf039c5ca8e0d17c3825cfcdc66,0SyJzPv40sIj4x5bnMVcWLCvMAdjzQIzdn4_rUMwJ8o,male,175.5,89.85,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/07838cf039c5ca8e0d17c3825cfcdc66.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/07838cf039c5ca8e0d17c3825cfcdc66.png,28.45085867689317
0b04f95f3472e99ea1c981207599e937,0llUez60571dPHH-iNUKIhyU8RNcRM3u8cJx27lOkkk,female,169.5,63.2,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0b04f95f3472e99ea1c981207599e937.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0b04f95f3472e99ea1c981207599e937.png,24.697665471071844
06f1ea8825f3af6867cd32df8a3571e3,0wqJ7taytlPRIH9JbcedVeXCM-qNjXS0lJNhCa6uAG8,male,181.75,113.8,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/06f1ea8825f3af6867cd32df8a3571e3.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/06f1ea8825f3af6867cd32df8a3571e3.png,29.625181388748956
0471f4df298f55928935aacd2be59d7b,0y4e4KTgGq9H2hcWW9tEQ8bvwYYmAbKm8lVWlSg2l2s,male,166.75,76.9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0471f4df298f55928935aacd2be59d7b.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0471f4df298f55928935aacd2be59d7b.png,29.126634718375804
08632570302905702d74fa5e8065a5d8,1EDRp_apkqyIjHTghIXLzqX30_MDFtPqhAYeUyF2tL4,female,161.0,69.9,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/08632570302905702d74fa5e8065a5d8.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/08632570302905702d74fa5e8065a5d8.png,32.76786232265519
0a83628753d7e722527429bcf1baaa3c,1obtJV-1XLXVJLmVLYfge5Q3Tj6KBWRz5lCerwj7hqQ,male,185.0,159.75,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0a83628753d7e722527429bcf1baaa3c.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0a83628753d7e722527429bcf1baaa3c.png,41.48773195829666
0d9619e185d0421de616f25435c1fe71,21AnYyb6w6M1hNj42r0F4nk03t7St_L-JH76UZna6KU,male,186.0,96.3,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0d9619e185d0421de616f25435c1fe71.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0d9619e185d0421de616f25435c1fe71.png,25.491839971847675
0804929db7e417cf86c113727a3809cd,29NvYTuuEKc1Xrym-L_6TZM91S72J5H3G45mDsFXTnc,male,179.55,95.95,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask/0804929db7e417cf86c113727a3809cd.png,/Users/tacticalcamel/Desktop/DesignProject/data/raw/mask_left/0804929db7e417cf86c113727a3809cd.png,31.19931280536936
